l,m(l),b(l),n(l),c(l),,,,
1,1,-. 18941595 lE+01,1,.912701647Е+00,,,,
2,2,.831382559Е+01,2,.177590070Е+02,,,,
3,4,-.259235125Е+02,3,-.919128935Е+02,,,,
4,5,.664628541Е+02,4,.218097949Е+03,,,,
5,6,-.913406318Е+02,5,-.263737998Е+03,,,,
6,7,.609183272Е+02,6,1.60E+02,,,,
7,8,-.166615964Е+02,7,-3.93E+01,,,,
8,,,10,3.43E-01,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
