i,delta,methane,ethane,propane,iButane,nButane,iPenthane,nPenthane,hexane,heptane,oxygen,nitrogen,carbonDioxide,waterVapor,hydrogenSulfide
1,1,0,0.02456077,0.07136654,0.0426293,0.03934594,0.03124069,0.01792795,0.004935177,0.05454612,0.01532148,0.007986618,0.03439584,0.4379564,-0.008432164
2,1,0,-0.03165762,-0.06174131,-0.04605458,-0.04131773,-0.01969977,-0.01888598,-0.009173505,-0.04761098,-0.01574971,-0.004883496,-0.03461522,0.1511072,0.01823556
3,0,0,0.03564686,0.04038523,0.05996364,0.06069281,0.02665646,0.09965198,0.03414393,0.02013432,-0.004586805,0.01680903,0.003553421,-1.086384,-0.125262
4,1,0,-0.001375345,0.004842747,-0.004794906,-0.01115159,-0.01777108,-0.02280011,-0.03832721,-0.02961158,0.007216899,0.008516472,-0.01170489,0.05382887,-0.004373534
5,0,0,-0.008945883,-0.02154781,-0.0109224,-0.006890598,0,0.00291644,0.01507947,-0.001586834,-0.007431432,-0.005169956,-0.004313793,0.07498545,0.006963388
6,1,0,0.07307668,0.1067543,0.1420716,0.1559718,0.1909737,0.2098695,0.2772469,0.2853771,0.003456577,0.02528444,0.1537664,-0.007743396,0.01432127
