Omega,roh,T,М
0.008,162.66,190.564,16.0428
0.098,204.46,305.33,30.0694
0.152,220.49,369.85,44.098
0.176,224.36,407.85,58.125
0.193,227.85,425.16,58.125
0.227,236,460.39,72.1503
0.251,232,469.65,72.1503
0.296,233.6,507.85,86.172
0.351,235,540.16,100.198
0.021,436.2,154.581,31.9988
0.04,313.1,126.2,28.0134
0.225,468,304.2,44.009
0.344,322,647.096,18.015268
0.1,347.616,373.4,34.08
