l,b(2l),b(2wl),b(1l)
0,4.21E-01,1.59E+00,3.72E-01
1,2.12E+00,-. 1939145 96E+01,1.80E+00
2,-4.07E+00,2.13E+00,-2.50E+00
3,5.03E+00,0.00E+00,0.00E+00
4,-1.99E+00,0.00E+00,9.14E+00
5,0.00E+00,0.00E+00,-1.64E+01
6,0.00E+00,-4.34E-02,. 147131276E+02
7,9.62E-02,0.00E+00,-7.64E+00
8,-2.39E-02,0.00E+00,2.17E+00
9,0.00E+00,-1.68E-03,-2.60E-01
