i,b,n,t,i,b,n,t
1,1.02,0,-5,1,1.28,0,-4
2,-3.1,0,-4,2,-7.63,0,-3
3,12.3,0,-2,3,18.2,0,-2
4,-2.6,0,1,4,-4.29,0,1
5,0.566,0,2,5,0.693,0,2
6,-0.0434,1,-5,6,-0.127,1,-1
7,0.116,1,-3,7,-0.00286,1,1
8,-0.283,1,-1,,,,
9,0.106,1,0,,,,
10,-0.0139,1,2,,,,
11,0.000176,2,2,,,,
